Disease_name,Gene_name,Gene_ID,Tissue
Transaldolase deficiency,TALDO1,ENSG00000177156,Blood and bone marrow
Majeed syndrome,LPIN2,ENSG00000101577,Blood and bone marrow
"Familial Mediterranean fever, AR",MEFV,ENSG00000103313,Blood and bone marrow
Pseudo-TORCH syndrome 2,USP18,ENSG00000184979,Blood and bone marrow
"Epilepsy, hearing loss, and mental retardation syndrome",SPATA5,ENSG00000145375,Blood and bone marrow
Stormorken syndrome,STIM1,ENSG00000167323,Blood and bone marrow
"Periodic fever, immunodeficiency, and thrombocytopenia syndrome",WDR1,ENSG00000071127,Blood and bone marrow
?CHARGE syndrome,SEMA3E,ENSG00000170381,Blood and bone marrow
CHARGE syndrome,CHD7,ENSG00000171316,Blood and bone marrow
Immunodeficiency 52,LAT,ENSG00000213658,Blood and bone marrow
Quebec platelet disorder,PLAU,ENSG00000122861,Blood and bone marrow
Glycogen storage disease XII,ALDOA,ENSG00000149925,Blood and bone marrow
"Immunodeficiency 27A, mycobacteriosis, AR",IFNGR1,ENSG00000027697,Blood and bone marrow
?Diamond-Blackfan anemia 11,RPL26,ENSG00000161970,Blood and bone marrow
"Immunodeficiency, common variable, 6",CD81,ENSG00000110651,Blood and bone marrow
"Neutropenia, severe congenital, 8, autosomal dominant",SRP54,ENSG00000100883,Blood and bone marrow
Immunodeficiency 36,PIK3R1,ENSG00000145675,Blood and bone marrow
IMAGE-I syndrome,POLE,ENSG00000177084,Blood and bone marrow
"Leukemia, juvenile myelomonocytic, somatic",ARHGAP26,ENSG00000145819,Blood and bone marrow
?Juvenile myelomonocytic leukemia,CBL,ENSG00000110395,Blood and bone marrow
"Leukemia, juvenile myelomonocytic, somatic",PTPN11,ENSG00000179295,Blood and bone marrow
"Leukemia, juvenile myelomonocytic",NF1,ENSG00000196712,Blood and bone marrow
"Hyperuricemia, pulmonary hypertension, renal failure, and alkalosis",SARS2,ENSG00000104835,Blood and bone marrow
Immunodeficiency 68,MYD88,ENSG00000172936,Blood and bone marrow
Hemolytic anemia due to hexokinase deficiency,HK1,ENSG00000156515,Blood and bone marrow
Noonan syndrome 12,RRAS2,ENSG00000133818,Blood and bone marrow
WHIM syndrome,CXCR4,ENSG00000121966,Blood and bone marrow
Farber lipogranulomatosis,ASAH1,ENSG00000104763,Blood and bone marrow
"{Neuroblastoma, susceptibility to, 1}",KIF1B,ENSG00000054523,Blood and bone marrow
"Myelodysplastic syndrome, somatic",GNB1,ENSG00000078369,Blood and bone marrow
"Myelodysplastic syndrome, somatic",SF3B1,ENSG00000115524,Blood and bone marrow
"{Myelodysplastic syndrome, susceptibility to}",GATA2,ENSG00000179348,Blood and bone marrow
"Myelodysplastic syndrome, somatic",TET2,ENSG00000168769,Blood and bone marrow
"Myelodysplastic syndrome, somatic",ASXL1,ENSG00000171456,Blood and bone marrow
Sengers syndrome,AGK,ENSG00000006530,Blood and bone marrow
"Kenny-Caffey syndrome, type 1",TBCE,ENSG00000284770,Blood and bone marrow
Specific granule deficiency,CEBPE,ENSG00000092067,Blood and bone marrow
"Fanconi anemia, complementation group A",FANCA,ENSG00000187741,Blood and bone marrow
"Infections, recurrent, with encephalopathy, hepatic dysfunction, and cardiovascular malformations",FADD,ENSG00000168040,Blood and bone marrow
"Gastrointestinal ulceration, recurrent, with dysfunctional platelets",PLA2G4A,ENSG00000116711,Blood and bone marrow
Glutathione synthetase deficiency,GSS,ENSG00000100983,Blood and bone marrow
"Sialidosis, type II",NEU1,ENSG00000204386,Blood and bone marrow
"Sialidosis, type I",NEU1,ENSG00000204386,Blood and bone marrow
FINCA syndrome,NHLRC2,ENSG00000196865,Blood and bone marrow
"GM1-gangliosidosis, type II",GLB1,ENSG00000170266,Blood and bone marrow
Diaphyseal medullary stenosis with malignant fibrous histiocytoma,MTAP,ENSG00000099810,Blood and bone marrow
"Aicardi-Goutieres syndrome 1, dominant and recessive",TREX1,ENSG00000213689,Blood and bone marrow
Thrombocythemia 3,JAK2,ENSG00000096968,Blood and bone marrow
Pseudo-TORCH syndrome 3,STAT2,ENSG00000170581,Blood and bone marrow
"Leukemia, acute lymphoblastic, somatic",GNB1,ENSG00000078369,Blood and bone marrow
"Leukemia, T-cell acute lymphocytic, somatic",TAL1,ENSG00000162367,Blood and bone marrow
"Leukemia, acute lymphoblastic",NBN,ENSG00000104320,Blood and bone marrow
"Leukemia, T-cell acute lymphocytic, somatic",TAL2,ENSG00000186051,Blood and bone marrow
"Leukemia, T-cell acute lymphoblastic, somatic",NUP214,ENSG00000126883,Blood and bone marrow
"{Leukemia, acute lymphocytic, susceptibility to, 1}",ALL1,,Blood and bone marrow
"Leukemia, acute lymphoblastic, somatic",FLT3,ENSG00000122025,Blood and bone marrow
"T-cell acute lymphoblastic leukemia, somatic",BAX,ENSG00000087088,Blood and bone marrow
"Leukemia, acute lymphocytic, Philadelphia chromosome positive, somatic",BCR,ENSG00000186716,Blood and bone marrow
"Neutropenia, severe congenital 1, autosomal dominant",ELANE,ENSG00000197561,Blood and bone marrow
Mismatch repair cancer syndrome 3,MSH6,ENSG00000116062,Blood and bone marrow
Mismatch repair cancer syndrome 2,MSH2,ENSG00000095002,Blood and bone marrow
"Neutropenia, severe congenital, 7, autosomal recessive",CSF3R,ENSG00000119535,Blood and bone marrow
"Hemophagocytic lymphohistiocytosis, familial, 3",UNC13D,ENSG00000092929,Blood and bone marrow
Thrombocytopenia 2,ANKRD26,ENSG00000107890,Blood and bone marrow
Noonan syndrome 1,PTPN11,ENSG00000179295,Blood and bone marrow
"Immunodeficiency 17, CD3 gamma deficient",CD3G,ENSG00000160654,Blood and bone marrow
"Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant",STAT1,ENSG00000115415,Blood and bone marrow
"Immunodeficiency 31C, chronic mucocutaneous candidiasis, autosomal dominant",STAT1,ENSG00000115415,Blood and bone marrow
"?Agammaglobulinemia 7, autosomal recessive",PIK3R1,ENSG00000145675,Blood and bone marrow
Mucopolysaccharidosis-plus syndrome,VPS33A,ENSG00000139719,Blood and bone marrow
"Tubulointerstitial kidney disease, autosomal dominant, 5",SEC61A1,ENSG00000058262,Blood and bone marrow
"Paroxysmal nocturnal hemoglobinuria, somatic",PIGA,ENSG00000165195,Blood and bone marrow
"Osteopetrosis, autosomal dominant 3",PLEKHM1,ENSG00000225190,Blood and bone marrow
"Asplenia, isolated congenital",RPSA,ENSG00000168028,Blood and bone marrow
"Sialic acid storage disorder, infantile",SLC17A5,ENSG00000119899,Blood and bone marrow
"Thrombocytopenia, X-linked, intermittent",WAS,ENSG00000015285,Blood and bone marrow
"Thrombocytopenia, X-linked",WAS,ENSG00000015285,Blood and bone marrow
"Periodic fever, familial",TNFRSF1A,ENSG00000067182,Blood and bone marrow
"Complement hyperactivation, angiopathic thrombosis, and protein-losing enteropathy",CD55,ENSG00000196352,Blood and bone marrow
"3-methylglutaconic aciduria, type V",DNAJC19,ENSG00000205981,Blood and bone marrow
"Niemann-Pick disease, type A",SMPD1,ENSG00000166311,Blood and bone marrow
Proteasome-associated autoinflammatory syndrome 1 and digenic forms,PSMB8,ENSG00000204264,Blood and bone marrow
Hemolytic anemia due to triosephosphate isomerase deficiency,TPI1,ENSG00000111669,Blood and bone marrow
"Severe combined immunodeficiency, B cell-negative",RAG1,ENSG00000166349,Blood and bone marrow
"Severe combined immunodeficiency, B cell-negative",RAG2,ENSG00000175097,Blood and bone marrow
"Thalassemia, alpha-",HBA2,ENSG00000188536,Blood and bone marrow
"Thalassemias, alpha-",HBA1,ENSG00000206172,Blood and bone marrow
?Immunodeficiency 13,UNC119,ENSG00000109103,Blood and bone marrow
Cohen syndrome,VPS13B,ENSG00000132549,Blood and bone marrow
Combined immunodeficiency and megaloblastic anemia with or without hyperhomocysteinemia,MTHFD1,ENSG00000100714,Blood and bone marrow
Revesz syndrome,TINF2,ENSG00000092330,Blood and bone marrow
"?Fanconi anemia, complementation group W",RFWD3,ENSG00000168411,Blood and bone marrow
:Immunodeficiency due to defect in MAPBP-interacting protein,LAMTOR2,ENSG00000116586,Blood and bone marrow
"Gaucher disease, type II",GBA,ENSG00000177628,Blood and bone marrow
Glanzmann thrombasthenia,ITGA2B,ENSG00000005961,Blood and bone marrow
Glanzmann thrombasthenia,ITGB3,ENSG00000259207,Blood and bone marrow
Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia,CBL,ENSG00000110395,Blood and bone marrow
"Myopathy, lactic acidosis, and sideroblastic anemia 2",YARS2,ENSG00000139131,Blood and bone marrow
"Bare lymphocyte syndrome, type II, complementation group C",RFX5,ENSG00000143390,Blood and bone marrow
"Bare lymphocyte syndrome, type II, complementation group E",RFX5,ENSG00000143390,Blood and bone marrow
"Bare lymphocyte syndrome, type II, complementation group D",RFXAP,ENSG00000133111,Blood and bone marrow
"Bare lymphocyte syndrome, type II, complementation group A",CIITA,ENSG00000179583,Blood and bone marrow
"MHC class II deficiency, complementation group B",RFXANK,ENSG00000064490,Blood and bone marrow
?Immunodeficiency 62,ARHGEF1,ENSG00000076928,Blood and bone marrow
"Immunodeficiency, common variable, 1",ICOS,ENSG00000163600,Blood and bone marrow
?Immunodeficiency 59 and hypoglycemia,HYOU1,ENSG00000149428,Blood and bone marrow
"Fanconi anemia, complementation group P",SLX4,ENSG00000188827,Blood and bone marrow
Combined oxidative phosphorylation deficiency 14,FARS2,ENSG00000145982,Blood and bone marrow
"Congenital disorder of glycosylation, type Iq",SRD5A3,ENSG00000128039,Blood and bone marrow
"Bile acid synthesis defect, congenital, 3",CYP7B1,ENSG00000172817,Blood and bone marrow
"?Neutropenia, nonimmune chronic idiopathic, of adults",GFI1,ENSG00000162676,Blood and bone marrow
"T-cell immunodeficiency, recurrent infections, autoimmunity, and cardiac malformations",STK4,ENSG00000101109,Blood and bone marrow
Glycogen storage disease Ib,SLC37A4,ENSG00000137700,Blood and bone marrow
"Neutropenia, severe congenital 3, autosomal recessive",HAX1,ENSG00000143575,Blood and bone marrow
"Chronic granulomatous disease, X-linked",CYBB,ENSG00000165168,Blood and bone marrow
Immunodeficiency 14,PIK3CD,ENSG00000171608,Blood and bone marrow
Noonan syndrome 13,MAPK1,ENSG00000100030,Blood and bone marrow
"Bile acid synthesis defect, congenital, 2",AKR1D1,ENSG00000122787,Blood and bone marrow
"Hemophagocytic lymphohistiocytosis, familial, 5",STXBP2,ENSG00000076944,Blood and bone marrow
"Osteopetrosis, autosomal recessive 5",OSTM1,ENSG00000081087,Blood and bone marrow
"Neutropenia, severe congenital 2, autosomal dominant",GFI1,ENSG00000162676,Blood and bone marrow
"Erythrocytosis, somatic",JAK2,ENSG00000096968,Blood and bone marrow
"Erythrocytosis, somatic",SH2B3,ENSG00000111252,Blood and bone marrow
"[Erythrocytosis, familial, 1]",EPOR,ENSG00000187266,Blood and bone marrow
"Dyserythropoietic anemia, congenital, type IV",KLF1,ENSG00000105610,Blood and bone marrow
Agammaglobulinemia 3,CD79A,ENSG00000105369,Blood and bone marrow
Diamond Blackfan anemia 15 with mandibulofacial dysostosis,RPS28,ENSG00000233927,Blood and bone marrow
"Platelet disorder, familial, with associated myeloid malignancy",RUNX1,ENSG00000159216,Blood and bone marrow
"{Bleeding disorder, platelet-type, 13, susceptibility to}",TBXA2R,ENSG00000006638,Blood and bone marrow
"Acute myeloid leukemia, somatic",DNMT3A,ENSG00000119772,Blood and bone marrow
"{Leukemia, acute myeloid, susceptibility to}",GATA2,ENSG00000179348,Blood and bone marrow
"Leukemia, acute myeloid",LPP,ENSG00000145012,Blood and bone marrow
"{Leukemia, acute myeloid}",CHIC2,ENSG00000109220,Blood and bone marrow
"Leukemia, acute myeloid, somatic",KIT,ENSG00000157404,Blood and bone marrow
"{Leukemia, acute myeloid}",TERT,ENSG00000164362,Blood and bone marrow
"Leukemia, acute myeloid, somatic",NPM1,ENSG00000181163,Blood and bone marrow
"Leukemia, acute myeloid, somatic",JAK2,ENSG00000096968,Blood and bone marrow
"Leukemia, acute myeloid, somatic",NUP214,ENSG00000126883,Blood and bone marrow
"Leukemia, acute myeloid",MLLT10,ENSG00000078403,Blood and bone marrow
"Leukemia, acute myeloid, somatic",PICALM,ENSG00000073921,Blood and bone marrow
"Leukemia, acute myeloid, somatic",ETV6,ENSG00000139083,Blood and bone marrow
"Leukemia, acute myeloid, somatic",KRAS,ENSG00000133703,Blood and bone marrow
"Leukemia, acute myeloid, somatic",FLT3,ENSG00000122025,Blood and bone marrow
"Leukemia, acute myeloid, reduced survival in, somatic",FLT3,ENSG00000122025,Blood and bone marrow
"Myeloid leukemia, acute, M4/M4Eo subtype, somatic",CBFB,ENSG00000067955,Blood and bone marrow
"Leukemia, acute myeloid",SH3GL1,ENSG00000141985,Blood and bone marrow
"Leukemia, acute myeloid, somatic",CEBPA,ENSG00000245848,Blood and bone marrow
"?Leukemia, acute myeloid",CEBPA,ENSG00000245848,Blood and bone marrow
"Leukemia, acute myeloid",RUNX1,ENSG00000159216,Blood and bone marrow
Sea-blue histiocyte disease,APOE,ENSG00000130203,Blood and bone marrow
Retinitis pigmentosa and erythrocytic microcytosis,TRNT1,ENSG00000072756,Blood and bone marrow
?Agammaglobulinemia 4,BLNK,ENSG00000095585,Blood and bone marrow
"Hemolytic anemia, nonspherocytic, due to glucose phosphate isomerase deficiency",GPI,ENSG00000105220,Blood and bone marrow
Noonan syndrome 3,KRAS,ENSG00000133703,Blood and bone marrow
"Congenital disorder of glycosylation, type IIl",COG6,ENSG00000133103,Blood and bone marrow
Immunodeficiency 54,MCM4,ENSG00000104738,Blood and bone marrow
Bone marrow failure syndrome 1,SRP72,ENSG00000174780,Blood and bone marrow
Bloom syndrome,BLM,ENSG00000197299,Blood and bone marrow
Aicardi-Goutieres syndrome 5,SAMHD1,ENSG00000101347,Blood and bone marrow
Dehydrated hereditary stomatocytosis 2,KCNN4,ENSG00000104783,Blood and bone marrow
"Immunodeficiency, X-linked, with magnesium defect, Epstein-Barr virus infection and neoplasia",MAGT1,ENSG00000102158,Blood and bone marrow
Immunodeficiency 50,MSN,ENSG00000147065,Blood and bone marrow
Reticular dysgenesis,AK2,ENSG00000004455,Blood and bone marrow
Immunodeficiency 19,CD3D,ENSG00000167286,Blood and bone marrow
"Neutropenia, severe congenital, 5, autosomal recessive",VPS45,ENSG00000136631,Blood and bone marrow
Mismatch repair cancer syndrome 4,PMS2,ENSG00000122512,Blood and bone marrow
"Fanconi anemia, complementation group T",UBE2T,ENSG00000077152,Blood and bone marrow
?Diamond-Blackfan anemia 12,RPL15,ENSG00000174748,Blood and bone marrow
"Autoimmune lymphoproliferative syndrome, type IB",FASLG,ENSG00000117560,Blood and bone marrow
"Autoimmune lymphoproliferative syndrome, type IA",FAS,ENSG00000026103,Blood and bone marrow
{Autoimmune lymphoproliferative syndrome},FAS,ENSG00000026103,Blood and bone marrow
Overhydrated hereditary stomatocytosis,RHAG,ENSG00000112077,Blood and bone marrow
"Autoimmune lymphoproliferative syndrome, type III",PRKCD,ENSG00000163932,Blood and bone marrow
"Congenital disorder of glycosylation, type IIf",SLC35A1,ENSG00000164414,Blood and bone marrow
"Thrombocytopenia, congenital amegakaryocytic",MPL,ENSG00000117400,Blood and bone marrow
"Immunodeficiency, common variable, 8, with autoimmunity",LRBA,ENSG00000198589,Blood and bone marrow
Yunis-Varon syndrome,FIG4,ENSG00000112367,Blood and bone marrow
Immunodeficiency 49,BCL11B,ENSG00000127152,Blood and bone marrow
?Paroxysmal nocturnal hemoglobinuria 2,PIGT,ENSG00000124155,Blood and bone marrow
"Methylmalonic aciduria and homocystinuria, cblJ type",ABCD4,ENSG00000119688,Blood and bone marrow
Hyper-IgE recurrent infection syndrome,STAT3,ENSG00000168610,Blood and bone marrow
"Methylmalonic aciduria and homocystinuria, cblC type",MMACHC,ENSG00000132763,Blood and bone marrow
"Methylmalonic aciduria and homocystinuria, cblC type, digenic",PRDX1,ENSG00000117450,Blood and bone marrow
Combined cellular and humoral immune defects with granulomas,RAG1,ENSG00000166349,Blood and bone marrow
Combined cellular and humoral immune defects with granulomas,RAG2,ENSG00000175097,Blood and bone marrow
"Immunodeficiency 18, SCID variant",CD3E,ENSG00000198851,Blood and bone marrow
Immunodeficiency 18,CD3E,ENSG00000198851,Blood and bone marrow
Smith-Kingsmore syndrome,MTOR,ENSG00000198793,Blood and bone marrow
Aicardi-Goutieres syndrome 3,RNASEH2C,ENSG00000172922,Blood and bone marrow
Camurati-Engelmann disease,TGFB1,ENSG00000105329,Blood and bone marrow
Prolidase deficiency,PEPD,ENSG00000124299,Blood and bone marrow
"Hypothyroidism, congenital, nongoitrous, 6",THRA,ENSG00000126351,Blood and bone marrow
Immunodeficiency 70,IVNS1ABP,ENSG00000116679,Blood and bone marrow
"Porphyria, congenital erythropoietic",UROS,ENSG00000188690,Blood and bone marrow
Orotic aciduria,UMPS,ENSG00000114491,Blood and bone marrow
"?Immunodeficiency 69, mycobacteriosis",IFNG,ENSG00000111537,Blood and bone marrow
"Thrombophilia due to protein S deficiency, autosomal dominant",PROS1,ENSG00000184500,Blood and bone marrow
"Ovalocytosis, SA type",SLC4A1,ENSG00000004939,Blood and bone marrow
"Spherocytosis, type 1",ANK1,ENSG00000029534,Blood and bone marrow
"Lymphoproliferative syndrome, X-linked, 2",XIAP,ENSG00000101966,Blood and bone marrow
Lysinuric protein intolerance,SLC7A7,ENSG00000155465,Blood and bone marrow
"Mental retardation-hypotonic facies syndrome, X-linked",ATRX,ENSG00000085224,Blood and bone marrow
Rajab interstitial lung disease with brain calcifications 1,FARSB,ENSG00000116120,Blood and bone marrow
Atransferrinemia,TF,ENSG00000091513,Blood and bone marrow
"Bernard-Soulier syndrome, type C",GP9,ENSG00000169704,Blood and bone marrow
"Bernard-Soulier syndrome, type A1 (recessive)",GP1BA,ENSG00000185245,Blood and bone marrow
"Giant platelet disorder, isolated",GP1BB,ENSG00000203618,Blood and bone marrow
"Bernard-Soulier syndrome, type B",GP1BB,ENSG00000203618,Blood and bone marrow
"Fanconi anemia, complementation group C",FANCC,ENSG00000158169,Blood and bone marrow
"Fanconi anemia, complementation group D2",FANCD2,ENSG00000144554,Blood and bone marrow
Ataxia-telangiectasia,ATM,ENSG00000149311,Blood and bone marrow
Thrombocytopenia-absent radius syndrome,RBM8A,ENSG00000265241,Blood and bone marrow
Immunodeficiency 11B with atopic dermatitis,CARD11,ENSG00000198286,Blood and bone marrow
HARP syndrome,PANK2,ENSG00000125779,Blood and bone marrow
"Bleeding disorder, platelet-type, 20",SLFN14,ENSG00000236320,Blood and bone marrow
Proteasome-associated autoinflammatory syndrome 2,POMP,ENSG00000132963,Blood and bone marrow
Thrombocythemia 1,THPO,ENSG00000090534,Blood and bone marrow
"Thrombocythemia, somatic",SH2B3,ENSG00000111252,Blood and bone marrow
"Thrombocythemia, somatic",CALR,ENSG00000179218,Blood and bone marrow
Lathosterolosis,SC5D,ENSG00000109929,Blood and bone marrow
?Cowden syndrome 7,SEC23B,ENSG00000101310,Blood and bone marrow
Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss,MYH9,ENSG00000100345,Blood and bone marrow
"Anemia, hypochromic microcytic, with iron overload 1",SLC11A2,ENSG00000110911,Blood and bone marrow
Fabry disease,GLA,ENSG00000102393,Blood and bone marrow
"Fabry disease, cardiac variant",GLA,ENSG00000102393,Blood and bone marrow
"Dyserythropoietic anemia, congenital, type II",SEC23B,ENSG00000101310,Blood and bone marrow
"?Dyskeratosis congenita, autosomal dominant 6",ACD,ENSG00000102977,Blood and bone marrow
"?Dyskeratosis congenita, autosomal recessive 7",ACD,ENSG00000102977,Blood and bone marrow
"Ceroid lipofuscinosis, neuronal, 3",CLN3,ENSG00000188603,Blood and bone marrow
"Autoimmune disease, multisystem, infantile-onset, 1",STAT3,ENSG00000168610,Blood and bone marrow
"Fanconi anemia, complementation group I",FANCI,ENSG00000140525,Blood and bone marrow
"Fanconi anemia, complementation group J",BRIP1,ENSG00000136492,Blood and bone marrow
?Diamond-Blackfan anemia 18,RPL18,ENSG00000063177,Blood and bone marrow
?Diamond-Blackfan anemia 20,RPS15A,ENSG00000134419,Blood and bone marrow
?Diamond-Blackfan anemia 14 with mandibulofacial dysostosis,TSR2,ENSG00000158526,Blood and bone marrow
"Osteopetrosis, autosomal recessive 2",TNFSF11,ENSG00000120659,Blood and bone marrow
Aspartylglucosaminuria,AGA,ENSG00000038002,Blood and bone marrow
Propionicacidemia,PCCB,ENSG00000114054,Blood and bone marrow
Propionicacidemia,PCCA,ENSG00000175198,Blood and bone marrow
Hyperphosphatasia with mental retardation syndrome 1,PIGV,ENSG00000060642,Blood and bone marrow
Hermansky-Pudlak syndrome 3,HPS3,ENSG00000163755,Blood and bone marrow
Hermansky-Pudlak syndrome 4,HPS4,ENSG00000100099,Blood and bone marrow
Hermansky-Pudlak syndrome 5,HPS5,ENSG00000110756,Blood and bone marrow
Hermansky-Pudlak syndrome 6,HPS6,ENSG00000166189,Blood and bone marrow
Hermansky-Pudlak syndrome 7,DTNBP1,ENSG00000047579,Blood and bone marrow
Hermansky-Pudlak syndrome 8,BLOC1S3,ENSG00000189114,Blood and bone marrow
?Hermansky-pudlak syndrome 9,BLOC1S6,ENSG00000104164,Blood and bone marrow
Diamond-Blackfan anemia 6,RPL5,ENSG00000122406,Blood and bone marrow
Diamond-Blackfan anemia 7,RPL11,ENSG00000142676,Blood and bone marrow
?Immunodeficiency 16,TNFRSF4,ENSG00000186827,Blood and bone marrow
"?Congenital disorder of glycosylation, type Ix",STT3B,ENSG00000163527,Blood and bone marrow
Hyperphosphatasia with mental retardation syndrome 2,PIGO,ENSG00000165282,Blood and bone marrow
"Anemia, hemolytic, due to UMPH1 deficiency",NT5C3A,ENSG00000122643,Blood and bone marrow
"?Bleeding disorder, platelet-type, 18",RASGRP2,ENSG00000068831,Blood and bone marrow
"Thrombophilia, X-linked, due to factor IX defect",F9,ENSG00000101981,Blood and bone marrow
"{Deep venous thrombosis, protection against}",F9,ENSG00000101981,Blood and bone marrow
"Congenital disorder of glycosylation, type IIc",SLC35C1,ENSG00000181830,Blood and bone marrow
Familial cold inflammatory syndrome 1,NLRP3,ENSG00000162711,Blood and bone marrow
"Thrombocytopenia, autosomal dominant, 7",IKZF5,ENSG00000095574,Blood and bone marrow
Wiskott-Aldrich syndrome,WAS,ENSG00000015285,Blood and bone marrow
"{Hemolytic uremic syndrome, atypical, susceptibility to, 2}",CD46,ENSG00000117335,Blood and bone marrow
"{Hemolytic uremic syndrome, atypical, susceptibility to, 3}",CFI,ENSG00000205403,Blood and bone marrow
"{Hemolytic uremic syndrome, atypical, susceptibility to, 4}",CFB,ENSG00000243649,Blood and bone marrow
"{Hemolytic uremic syndrome, atypical, susceptibility to, 5}",C3,ENSG00000125730,Blood and bone marrow
"{Hemolytic uremic syndrome, atypical, susceptibility to, 6}",THBD,ENSG00000178726,Blood and bone marrow
"Fanconi anemia, complementation group S",BRCA1,ENSG00000012048,Blood and bone marrow
?Immunodeficiency 25,CD247,ENSG00000198821,Blood and bone marrow
"Niemann-pick disease, type C2",NPC2,ENSG00000119655,Blood and bone marrow
"Griscelli syndrome, type 2",RAB27A,ENSG00000069974,Blood and bone marrow
"Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis",CLDN1,ENSG00000163347,Blood and bone marrow
Pelger-Huet anomaly,LBR,ENSG00000143815,Blood and bone marrow
Fucosidosis,FUCA1,ENSG00000179163,Blood and bone marrow
"Anemia, sideroblastic, with ataxia",ABCB7,ENSG00000131269,Blood and bone marrow
"Hypophosphatasia, infantile",ALPL,ENSG00000162551,Blood and bone marrow
Diamond-Blackfan anemia 9,RPS10,ENSG00000124614,Blood and bone marrow
Macrocephaly/autism syndrome,PTEN,ENSG00000171862,Blood and bone marrow
Immunodeficiency 47,ATP6AP1,ENSG00000071553,Blood and bone marrow
Immunodeficiency 47,ATP6AP1,ENSG00000071553,Blood and bone marrow
"Hyperfibrinolysis, familial, due to increased release of PLAT",PLAT,ENSG00000104368,Blood and bone marrow
"Thrombophilia, familial, due to decreased release of PLAT",PLAT,ENSG00000104368,Blood and bone marrow
"Fanconi anemia, complementation group L",FANCL,ENSG00000115392,Blood and bone marrow
"Fanconi anemia, complementation group G",FANCG,ENSG00000221829,Blood and bone marrow
"Neurodegeneration, early-onset, with choreoathetoid movements and microcytic anemia",IREB2,ENSG00000136381,Blood and bone marrow
"Bile acid synthesis defect, congenital, 1",HSD3B7,ENSG00000099377,Blood and bone marrow
"{Hemolytic uremic syndrome, atypical, susceptibility to, 7}",DGKE,ENSG00000153933,Blood and bone marrow
"{Hemolytic uremic syndrome, atypical, susceptibility to, 7}",DGKE,ENSG00000153933,Blood and bone marrow
"Nephrotic syndrome, type 7",DGKE,ENSG00000153933,Blood and bone marrow
"Nephrotic syndrome, type 7",DGKE,ENSG00000153933,Blood and bone marrow
"?Autoimmune lymphoproliferative syndrome, type IIB",CASP8,ENSG00000064012,Blood and bone marrow
"Autoinflammation, immune dysregulation, and eosinophilia",JAK1,ENSG00000162434,Blood and bone marrow
"Anemia, sideroblastic, 2, pyridoxine-refractory",SLC25A38,ENSG00000144659,Blood and bone marrow
"Bile acid synthesis defect, congenital, 4",AMACR,ENSG00000242110,Blood and bone marrow
Gray platelet syndrome,NBEAL2,ENSG00000160796,Blood and bone marrow
Immunodeficiency 75,TET2,ENSG00000168769,Blood and bone marrow
Autoinflammation with episodic fever and lymphadenopathy,RIPK1,ENSG00000137275,Blood and bone marrow
"Telangiectasia, hereditary hemorrhagic, type 1",ENG,ENSG00000106991,Blood and bone marrow
Mevalonic aciduria,MVK,ENSG00000110921,Blood and bone marrow
"Mannosidosis, alpha-, types I and II",MAN2B1,ENSG00000104774,Blood and bone marrow
"Gaucher disease, perinatal lethal",GBA,ENSG00000177628,Blood and bone marrow
Even-plus syndrome,HSPA9,ENSG00000113013,Blood and bone marrow
Developmental and epileptic encephalopathy 50,CAD,ENSG00000084774,Blood and bone marrow
B-cell expansion with NFKB and T-cell anergy,CARD11,ENSG00000198286,Blood and bone marrow
Heme oxygenase-1 deficiency,HMOX1,ENSG00000100292,Blood and bone marrow
Barth syndrome,TAFAZZIN,,Blood and bone marrow
Diamond-Blackfan anemia 5,RPL35A,ENSG00000182899,Blood and bone marrow
"Bleeding disorder, platelet-type, 17",GFI1B,ENSG00000165702,Blood and bone marrow
Diamond-Blackfan anemia 4,RPS17,ENSG00000182774,Blood and bone marrow
Emberger syndrome,GATA2,ENSG00000179348,Blood and bone marrow
"Autoimmune lymphoproliferative syndrome, type V",CTLA4,ENSG00000163599,Blood and bone marrow
"Polyposis, juvenile intestinal",BMPR1A,ENSG00000107779,Blood and bone marrow
"Polyposis, juvenile intestinal",SMAD4,ENSG00000141646,Blood and bone marrow
Noonan syndrome 2,LZTR1,ENSG00000099949,Blood and bone marrow
?Proteasome-associated autoinflammatory syndrome 3 and digenic forms,PSMB4,ENSG00000159377,Blood and bone marrow
"?Proteasome-associated autoinflammatory syndrome 3, digenic",PSMB9,ENSG00000240065,Blood and bone marrow
Hyperphosphatasia with mental retardation syndrome 4,PGAP3,ENSG00000161395,Blood and bone marrow
"Gaucher disease, type III",GBA,ENSG00000177628,Blood and bone marrow
Bone marrow failure syndrome 2,ERCC6L2,ENSG00000182150,Blood and bone marrow
?Diamond-Blackfan anemia 16,RPL27,ENSG00000131469,Blood and bone marrow
Ataxia-pancytopenia syndrome,SAMD9L,ENSG00000177409,Blood and bone marrow
Thrombocytopenia 5,ETV6,ENSG00000139083,Blood and bone marrow
"Congenital disorder of glycosylation, type IIr",ATP6AP2,ENSG00000182220,Blood and bone marrow
"Dyskeratosis congenita, autosomal dominant 1",TERC,ENSG00000270141,Blood and bone marrow
